School_ID,num_of_items_purchased,num_of_problem_BC_filtered,num_of_hints,problemA_accuracy,concept_post,concept_pre,CPETECOP,CPETLEPP,CPETSPEP,CPETHISP,CPETBLAP,CPETWHIP,CPETASIP,Student_ID
161807002,40.0,131.0,43.0,0.7466666666670001,3.8,3.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,0
161807002,7.0,58.0,11.0,0.865168539326,,1.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,1
161807002,65.0,43.0,68.0,0.69512195122,,2.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,2
161807002,35.0,3.0,18.0,0.7032967032969999,2.2,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,3
161807002,28.0,76.0,29.0,0.78021978022,2.8,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,4
161807002,14.0,0.0,1.0,0.5,,3.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,5
161807002,40.0,0.0,30.0,0.726618705036,,3.6,46.6,25.2,5.5,23.8,32.7,30.7,10.4,6
161807002,27.0,224.0,16.0,0.970037453184,1.8,1.8,46.6,25.2,5.5,23.8,32.7,30.7,10.4,7
161807002,29.0,22.0,7.0,0.7486910994760001,,2.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,8
161807002,29.0,0.0,16.0,0.533898305085,,2.5,46.6,25.2,5.5,23.8,32.7,30.7,10.4,9
161807002,27.0,197.0,15.0,0.84693877551,1.0,1.8,46.6,25.2,5.5,23.8,32.7,30.7,10.4,10
161807002,4.0,2.0,64.0,0.644628099174,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,11
161807002,27.0,2.0,9.0,0.810344827586,3.6,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,12
161807002,3.0,0.0,5.0,0.722222222222,,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,13
161807002,5.0,0.0,2.0,0.722222222222,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,14
161807002,3.0,0.0,0.0,,,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,15
161807002,18.0,3.0,5.0,0.650793650794,,3.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,16
161807002,19.0,6.0,38.0,0.774647887324,,1.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,17
161807002,14.0,6.0,34.0,0.644230769231,,2.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,18
161807002,25.0,23.0,22.0,0.636363636364,,3.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,19
161807002,23.0,6.0,4.0,0.905982905983,,2.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,20
161807002,4.0,0.0,7.0,0.375,,3.8,46.6,25.2,5.5,23.8,32.7,30.7,10.4,21
161807002,22.0,0.0,6.0,0.75,,2.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,22
161807002,14.0,0.0,26.0,0.79012345679,,1.6,46.6,25.2,5.5,23.8,32.7,30.7,10.4,23
161807002,3.0,0.0,0.0,1.0,,2.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,24
161807002,26.0,0.0,13.0,0.7528089887639999,,1.8,46.6,25.2,5.5,23.8,32.7,30.7,10.4,25
161807002,4.0,3.0,1.0,0.714285714286,,2.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,26
161807002,17.0,30.0,94.0,0.591549295775,,2.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,27
161807002,16.0,10.0,12.0,0.704761904762,,1.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,28
161807002,27.0,6.0,16.0,0.576576576577,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,29
161807002,10.0,0.0,2.0,0.3125,,1.75,46.6,25.2,5.5,23.8,32.7,30.7,10.4,30
161807002,22.0,4.0,19.0,0.865168539326,,2.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,31
161807002,12.0,0.0,6.0,0.576923076923,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,32
161807002,3.0,0.0,10.0,0.613333333333,,2.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,33
161807002,36.0,311.0,34.0,0.948648648649,,1.5,46.6,25.2,5.5,23.8,32.7,30.7,10.4,34
161807002,8.0,39.0,21.0,0.690987124464,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,35
161807002,32.0,134.0,39.0,0.7299703264090001,,3.2,46.6,25.2,5.5,23.8,32.7,30.7,10.4,36
161807002,41.0,404.0,46.0,0.860153256705,,3.4,46.6,25.2,5.5,23.8,32.7,30.7,10.4,37
161807002,3.0,4.0,2.0,0.8,,4.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,38
161807002,4.0,141.0,41.0,0.8241758241760001,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,39
161807002,13.0,17.0,56.0,0.5900900900899999,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,40
161807002,3.0,105.0,113.0,0.740740740741,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,41
161807002,20.0,0.0,37.0,0.634146341463,,1.8,46.6,25.2,5.5,23.8,32.7,30.7,10.4,42
161807002,4.0,24.0,36.0,0.7984496124029999,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,43
161807002,9.0,77.0,132.0,0.730612244898,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,44
161807002,9.0,0.0,135.0,0.725352112676,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,45
161807002,3.0,0.0,0.0,,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,46
161807002,6.0,0.0,34.0,0.8484848484849999,,1.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,47
161807002,3.0,18.0,28.0,0.7974683544300001,,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,48
161807002,25.0,65.0,12.0,0.8181818181820001,,1.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,49
161807002,3.0,0.0,8.0,1.0,,3.0,46.6,25.2,5.5,23.8,32.7,30.7,10.4,50
161807002,54.0,218.0,12.0,0.913857677903,1.2,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,51
161807002,35.0,46.0,22.0,0.7627118644069999,3.0,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,52
161807002,21.0,4.0,36.0,0.6,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,53
161807002,24.0,7.0,12.0,0.739130434783,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,54
161807002,22.0,0.0,4.0,0.810344827586,3.0,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,55
161807002,23.0,0.0,19.0,0.775510204082,2.0,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,56
161807002,33.0,210.0,47.0,0.899224806202,3.0,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,57
161807002,25.0,0.0,7.0,0.821428571429,3.4,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,58
161807002,28.0,8.0,15.0,0.8210526315790001,2.0,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,59
161807002,17.0,0.0,2.0,0.848101265823,2.2,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,60
161807002,4.0,0.0,56.0,0.733333333333,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,61
161807002,3.0,34.0,11.0,0.925925925926,,,46.6,25.2,5.5,23.8,32.7,30.7,10.4,62
